parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
5998,2,1500,3,4,4,7102.270218,7105.375547,2.839062,0x40500b,56,3107.720189,3178.244746,1
5999,3,1500,0,4,4,7105.444522,7105.612242,0.167720,0x40504c,0,2216.409168,3998.570748,1
5999,3,1500,1,4,4,7105.444084,7105.605454,0.161370,0x40504c,40,1482.347420,4299.733151,1
5999,3,1500,2,4,4,7105.444251,7105.618506,0.174255,0x40504c,48,3137.635576,3000.000000,1
5999,3,1500,3,4,4,7105.444395,7105.620115,0.175720,0x40504c,56,4300.000000,3099.823201,1
6000,4,1500,0,4,4,7105.791646,7105.825205,0.033559,0x4050f7,0,1803.252830,3994.079337,1
6000,4,1500,1,4,4,7105.790764,7105.816827,0.026063,0x4050f7,40,4300.000000,4298.328799,1
6000,4,1500,2,4,4,7105.790926,7105.817764,0.026838,0x4050f7,48,800.000000,3001.135503,1
6000,4,1500,3,4,4,7105.791025,7105.816753,0.025728,0x4050f7,56,800.000000,3096.361502,1
6001,5,1500,0,4,4,7105.884860,7105.909237,0.024377,0x405149,0,800.000000,4094.956950,1
6001,5,1500,1,4,4,7105.884525,7105.914438,0.029913,0x405149,40,4300.000000,4298.545823,1
6001,5,1500,2,4,4,7105.884756,7105.904364,0.019608,0x405149,48,800.000000,4102.137643,1
6001,5,1500,3,4,4,7105.884712,7105.903212,0.018500,0x405149,56,800.000000,4297.628240,1
6398,2,1600,0,4,4,7514.657854,7517.706346,2.796203,0x40500b,32,3385.563612,3418.133633,1
6398,2,1600,1,4,4,7514.657628,7517.709495,2.613860,0x40500b,40,4300.000000,4336.043319,1
6398,2,1600,2,4,4,7514.657649,7517.705099,2.804402,0x40500b,48,3182.042844,3244.694029,1
6398,2,1600,3,4,4,7514.657394,7517.708125,2.839493,0x40500b,56,3055.873994,3122.441730,1
6399,3,1600,0,4,4,7517.786024,7517.954253,0.168229,0x40504c,32,1715.463606,3310.247728,1
6399,3,1600,1,4,4,7517.786450,7517.939720,0.153270,0x40504c,40,800.000000,4299.718991,1
6399,3,1600,2,4,4,7517.786707,7517.955902,0.169195,0x40504c,48,4300.000000,3124.474697,1
6399,3,1600,3,4,4,7517.786578,7517.959713,0.173135,0x40504c,56,3946.685593,3054.045757,1
6400,4,1600,0,4,4,7518.018564,7518.040180,0.021616,0x4050f7,32,936.695964,4101.890272,1
6400,4,1600,1,4,4,7518.019045,7518.044489,0.025444,0x4050f7,40,4300.000000,4300.000000,1
6400,4,1600,2,4,4,7518.019185,7518.038768,0.019583,0x4050f7,48,800.000000,4100.000000,1
6400,4,1600,3,4,4,7518.019098,7518.038697,0.019599,0x4050f7,56,815.707370,4097.873444,1
6401,5,1600,0,4,4,7518.087392,7518.109124,0.021732,0x405149,32,800.000000,4100.000000,1
6401,5,1600,1,4,4,7518.087841,7518.116959,0.029118,0x405149,40,4300.000000,4300.000000,1
6401,5,1600,2,4,4,7518.087907,7518.107574,0.019667,0x405149,48,800.000000,4100.000000,1
6401,5,1600,3,4,4,7518.088080,7518.107314,0.019234,0x405149,56,800.000000,4100.000000,1
6798,2,1700,0,4,4,7905.123927,7907.968010,2.547676,0x40500b,0,3803.872632,3873.277341,1
6798,2,1700,1,4,4,7905.123124,7907.967002,2.693035,0x40500b,40,4300.000000,4127.181147,1
